Grid Code,Chimneys,Crimes,Crimes/Chimney
SD 19 70,7,78,11.142857142857142
SD 66 26,1,185,185.0
SD 67 25,1,150,150.0
SD 67 27,20,290,14.5
SD 67 28,1,254,254.0
SD 68 26,1,233,233.0
SD 68 27,15,430,28.666666666666668
SD 68 28,27,444,16.444444444444443
SD 68 29,2,167,83.5
SD 69 28,19,84,4.421052631578948
SD 69 29,2,121,60.5
SD 82 32,2,291,145.5
SD 83 32,9,390,43.333333333333336
SD 83 33,4,100,25.0
SD 84 32,3,629,209.66666666666666
SD 85 32,2,155,77.5
SE 05 40,4,241,60.25
SE 05 41,14,246,17.571428571428573
SE 06 41,6,416,69.33333333333333
SE 27 34,2,239,119.5
SE 28 31,6,144,24.0
SE 28 32,5,166,33.2
SE 28 33,11,176,16.0
SE 28 34,3,309,103.0
SE 29 32,38,182,4.7894736842105265
SE 29 33,1,570,570.0
SE 30 32,24,201,8.375
SE 30 33,9,2320,257.77777777777777
SE 30 34,1,431,431.0
SE 31 31,4,193,48.25
SE 31 32,21,109,5.190476190476191
SE 31 33,2,320,160.0
SE 31 34,16,484,30.25
SE 43 26,2,10,5.0
SE 58 50,2,24,12.0
SE 58 51,2,69,34.5
SE 58 52,1,51,51.0
SE 60 50,1,75,75.0
SE 60 51,4,802,200.5
SE 60 52,1,377,377.0
SE 61 51,5,215,43.0
SE 61 52,2,97,48.5
SJ 41 66,2,216,108.0
SJ 91 73,1,396,396.0
SK 33 86,1,141,141.0
SK 33 87,2,141,70.5
SK 34 83,1,92,92.0
SK 34 84,7,169,24.142857142857142
SK 34 85,1,231,231.0
SK 34 86,12,365,30.416666666666668
SK 34 87,19,587,30.894736842105264
SK 34 88,5,178,35.6
SK 35 86,19,613,32.26315789473684
SK 35 87,1,1338,1338.0
SK 35 88,2,185,92.5
SK 36 87,3,157,52.333333333333336
SK 36 88,29,238,8.206896551724139
SK 37 88,11,44,4.0
SK 37 89,5,25,5.0
SK 38 87,1,58,58.0
SK 38 89,9,106,11.777777777777779
SK 38 91,5,95,19.0
SK 53 46,1,21,21.0
SK 55 41,1,675,675.0
SP 74 60,1,238,238.0
SX 44 56,1,0,0.0
SX 45 54,1,232,232.0
SX 45 55,1,241,241.0
SX 48 53,1,10,10.0
TM 16 44,1,917,917.0
TM 16 45,1,29,29.0
TM 17 44,1,176,176.0
TQ 16 80,1,452,452.0
TQ 25 80,1,760,760.0
TQ 26 76,1,267,267.0
TQ 26 78,1,676,676.0
TQ 28 76,1,288,288.0
TQ 28 88,1,79,79.0
TQ 29 76,2,245,122.5
TQ 29 77,1,167,167.0
TQ 29 83,1,751,751.0
TQ 30 83,1,1354,1354.0
TQ 30 84,3,453,151.0
TQ 31 87,1,254,254.0
TQ 32 87,1,357,357.0
TQ 33 77,1,205,205.0
TQ 34 77,2,313,156.5
TQ 38 77,1,307,307.0
TQ 39 77,1,124,124.0
